Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"ТОО KingFisher","+7 708 500 0090","http://www.kingfisher.kz/","Рыбный магазин","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"️OPTOVIC.KZ продажа и поставка оборудования, инструментов, станков, подъемного оборудования снабжение.","+7 771 989 1856","https://optovic.kz/","Магазин инструмента","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"СТОМАТОЛОГИЧЕСКИЕ ИНСТРУМЕНТЫ И МАТЕРИАЛЫ - стоматологический магазин ""СТОМир""","+7 707 288 7333","https://stomir.kz/","Всё для стоматологии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ювелирная Компания Арт","+7 708 182 5271","https://goldart.kz/","Оптовая продажа ювелирных изделий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""МЕГАСЕРВЕР""","+7 705 183 3996","https://mega-server.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сантехника в Алматы","+7 727 317 8540","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Посуда Мечта Повара","+7 707 221 2228","https://mechta-povara.satu.kz/","Магазин посуды из стекла","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Торговый дом Ecoluffa""","+7 7272 33 65 39","http://ecoluffa.kz/","Оптовая продажа тканей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Новый Ялян Торговый Центр","+7 705 344 8595","https://www.instagram.com/yalyan.kz/","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Henry BONNAR","+7 747 094 9999","https://henrybonnar.com/","Цветочный магазин","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"opttoyschina","+7 700 047 9530","https://opttoyschina.com/","Магазин игрушек","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AyA by DK Kazakhstan","+7 700 500 0673","http://ayabydk.com/","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговый Дом ТИС","","https://th-tic.com/","Оптовая торговля за наличный расчёт без доставки товара","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"FishDream на Кабанбай Батыра 135","+7 707 357 7771","","Рыбный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цветочный магазин ОРАНЖ Алматы Цветы Алматы Заказать Доставку Букетов из роз","+7 707 820 0729","https://orange-flowers.kz/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DELTA CHIP","+7 707 261 0303","https://deltachip.kz/","Магазин электроники","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"glo","+7 800 080-10-80 ext. 5757","https://myglo.kz/","Поставщик табака","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Гаухар","+7 775 744 4491","","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Euro Flowers","+7 727 387 0318","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ANGIOLINI","+7 701 801 7755","http://www.angiolini.kz/","Магазин верхней одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"La Casa Del Habano Официальный дистрибьютор настоящих Кубинских сигар","+7 727 328 4702","","Магазин сигар","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Компания Euroelectric Kazakhstan","+7 701 419 0895","http://euroelectric.kz/","Оптовая продажа электрооборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ритц Палас","+7 727 332 2724","https://ritz-palace.kz/","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"OK Silver кольца, браслеты, серебро, серьги, пирсинг, бусы, амулет, сережки, кулоны, бижутерия, ювелирные украшения, ожерелья","+7 707 745 5514","https://www.instagram.com/ok.silver.kz/","Ювелирный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Accio Store - Магазин Кофемашин и Кофе в Казахстане","+7 778 133 4400","https://acciostore.kz/?utm_source=google_maps&utm_medium=maps","Магазин кофе","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Zemfish","+7 727 395 8503","","Рыбный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Velik.kz магазин ведосипедов, прокат велосипедов, сервис","+7 707 296 0777","http://velik.kz/","Веломагазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Bezgluten","+7 701 747 9384","https://xn--90aefbizp2b9g.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет магазин косметики VIPSTORE","+7 727 327 2828","","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оранж","+7 707 820 0729","https://orange-flowers.kz/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Flowers-company","+7 747 870 2471","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Купить запчасти для бытовой техники | Maestro extra интернет-магазин","+7 777 390 0252","https://maestro.cts.kz/","Поставщик запчастей для бытовой техники","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО Мастер Инк ""Service""","+7 7272 72 22 52","http://www.shop-masterinc.kz/","Магазин канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цветочник - цветы в Алматы заказать с доставкой","+7 747 094 8083","https://cvetochnik.kz/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Идеальный Дом","+7 727 378 4820","https://almatymebel.kz/","Магазин мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Lumen.kz | Светодиодные фонари, батарейки и аксессуары","+7 777 122 3535","https://lumen.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ST Networks","+7 727 333 0999","http://www.stn.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин лучших цен","+7 727 329 5033","","Оптовая продажа керамики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мастер ИНК «Lomond»","+7 7272 67 40 79","http://www.lomond.kz/","Магазин канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мастерская Подарков Lime Cube","+7 705 729 7744","https://limecube.kz/","Магазин поздравительных открыток","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО РЦЭО","+7 727 971 0605","https://rceo.kz/","Магазин электротоваров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сигареты, табак, аксессуары","+7 7272 61 06 01","http://www.tabak-vostoka.kz/","Торговец табачными изделиями","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Smartcase.kz","+7 778 641 3011","https://smartcase.kz/","Магазин электроники","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО Фаиз","+7 700 426 0378","https://faizkz.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb","Магазин медицинского оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SAYAT","+7 777 743 9595","","Объект культурного наследия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Beautyprof","+7 727 346 8696","https://beautyprof.kz/","Магазин товаров для парикмахерских","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мир Керамики","+7 775 007 4434","https://mirceramiki.kz/?utm_source=google&utm_medium=organic&utm_campaign=google_business&utm_content=profile&utm_term=maps","Магазин керамической плитки","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Sayat","+7 777 010 5252","","Строительный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Line","+7 7272 67 11 77","http://www.line-ltd.kz/","Магазин осветительных приборов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Чемоданы Алматы ""Chemodany_Bags_kz""","+7 701 905 1841","http://instagram.com/chemodani_bags_kz","Оптовая продажа багажа","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"brosh","+7 727 317 7576","","Ювелирный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Treagra Safety","+7 727 339 2537","http://www.treagra.kz/","Поставщик спецодежды и средств защиты","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Luxury Stone - Мрамор, Гранит, Оникс, Травертин в Алматы","+7 777 010 4545","https://luxurystone.kz/","Поставщик мрамора","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ЗооМагия","+7 775 222 2829","https://zoomagiya.kz/","Зоомагазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""DPB New Brands""","+7 727 311 5200","http://www.new-brands.kz/","Офис компании","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"СПА оборудование и мебель для салонов красоты в Алматы (Казахстане)","+7 727 350 5280","","Салон красоты","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"AplTech.kz (Интернет магазин компьютерной техники)","+7 702 008 0048","https://www.apltech.kz/","Интернет-магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Wamiles Kazakhstan","+7 727 312 2866","https://wamiles.kz/","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Доставка тортов Алматы","+7 777 571 7858","","Магазин тортов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сапожки-Ботиночки","+7 727 357 2563","","Обувной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Dan King LLP","+7 7272 50 11 40","https://danking.kz/","Оптовая продажа кофе","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ШНАПСЕР","+7 747 883 7670","http://www.schnapser.kz/","Оптовая продажа товаров повседневного спроса","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SMARTSERVICE.KZ – центр сборки и продажи компьютеров","+7 708 277 7564","https://smartservice.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Forward L","+7 775 116 6818","https://www.forwardl.com/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Уничтожители бумаг","+7 727 354 3553","https://www.shreder.kz/shop-1/%D0%A3%D0%BD%D0%B8%D1%87%D1%82%D0%BE%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C-%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%BE%D0%B2-%D0%A8%D1%80%D0%B5%D0%B4%D0%B5%D1%80-office-kit-sa152-4%D1%8512-%D1%81-%D0%B0%D0%B2%D1%82%D0%BE%D0%BF%D0%BE%D0%B4%D0%B0%D1%87%D0%B5%D0%B9","Поставщик офисного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Korealine.kz","+7 707 784 3388","http://korealine.kz/","Торговый центр","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ОптоМаркет","+7 700 710 1101","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"KoreanStyle Cos","+7 705 196 3553","","Оптовая продажа косметики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ковры Алматы","+7 701 486 0302","","Магазин товаров для дома","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Авторынок Жибек Жолы","+7 702 600 5001","","Рынок автозапчастей","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"женская одежда","","","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Группа Компаний ""Alina""","+7 701 218 8380","http://alina.kz/","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Айс Фуд Азия, ТОО","+7 777 210 9221","https://icefoodasia.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb","Консервный завод","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Прайм Тулс - инструмент и оборудование для СТО","+7 747 095 1121","https://prime-tools.kz/","Магазин инструмента","бутик",KZ,30,new,google_maps_apify,2026-08-16
"KazTen","+7 771 789 7107","http://www.kazten.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"IRON-LION.KZ","+7 708 983 5083","https://iron-lion.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"""Alladin Flor Decor"" оформление витрин, продажа искусственных цветов","+7 701 074 9999","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"РАХАТ фирменный Магазин № 3","","http://www.rakhat.kz/","Кондитерский магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Производственно Полиграфический. Комбинат ""Парус""","+7 7272 26 82 30","http://www.parus-almaty.kz/","Офис компании","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TPG KAZAKHSTAN","+7 775 000 1010","","Оптовая продажа бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Автотрейд","+7 727 345 1080","https://autotrade.kz/","Магазин автозапчастей","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Ткани для спецодежды","","http://bespokela.kz/","Оптовая продажа тканей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Soyuz Aidar Trade - Сеть мебельных магазинов","+7 705 544 7576","http://www.aidarmebel.kz/","Оптовая продажа мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Vaibiz","+7 702 570 1806","https://vaibiz.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Konvert24.kz","+7 708 973 7537","http://www.konvert24.kz/","Оптовая продажа канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Almaty Spices","+7 7272 43 72 19","https://www.almatyspices.kz/","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Интернет магазин Меланж","+7 747 299 9499","http://melanj.kz/","Магазин товаров для рукоделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"NVO 21 торгово-производственная компания","+7 7272 47 86 15","http://nvo21.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ""NEKAR FOODS”","+7 727 364 5429","https://nekar.kz/","Оборудование для пекарен","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские колбасы ""BELARUSKI""","+7 707 210 6421","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Miracle Origianal","+7 777 760 5703","","Оптовая продажа посуды из стекла","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Тастак Строительный рынок","+7 775 503 8231","","Рынок","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Optimus KZ, ​магазин красок, строительной химии и малярного инструмента","+7 775 007 1192","https://optimus-kz.com/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТЦ Байсат","+7 7272 45 05 55","","Торговый центр","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Детская одежда из Южной Кореи","","http://bebe.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"CENTERPOL","+7 708 162 1585","https://www.centerpol.kz/","Магазин напольных покрытий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Фермерский Рынок","","","Фермерский рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Medical&Pharma Service","+7 700 022 2212","https://med-pharm.kz/","Фармацевтическая компания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"EFFLER PHARMA","+7 701 778 9063","https://effler.kz/about_us","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рынок ""Береке""","+7 7272 53 78 39","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Myakish","+7 707 361 2731","https://myakish.com/","Оптовая продажа мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TELLER","+7 701 110 2218","http://teller.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Центр Спортивного Питания","+7 727 317 3080","http://www.sportcenter.kz/","Магазин витаминов и пищевых добавок","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Tiande-натуральная косметика","+7 778 911 0005","http://chinamed.com.kz/","Оптовая продажа косметики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Чорап","+7 7272 33 23 14","https://bazsocks.com/ru/home-ru/","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Швейный цех по пошиву одежды в Казахстане","+7 700 267 0239","https://poshiv.kz/","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Tatte","+7 727 345 3452","https://tatte.kz/?utm_source=maps&utm_medium=maps&utm_campaign=maps","Оптовая продажа кофе","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Казевротрейд","","","Склад","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AKEMI KAZAKHSTAN","+7 707 792 2020","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Шинный центр UNITYRE (Юнитайр)","+7 7272 41 19 86","https://www.unityre.kz/","Магазин шин и дисков","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Relax Mode","+7 727 385 9751","http://relax-mode.kz/","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"БЕЛЬЕ ОПТОМ","+7 777 320 2626","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Петрокоммерц Казахстан","+7 7272 50 85 98","https://petrocommerce.kz/nashi-kontakty-4/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рауза-АДЕ, ТОО","+7 7272 79 34 75","https://rauza-ade.kz/","Аптека","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Гипермаркет шин ecar.kz","+7 727 313 1633","https://ecar.kz/","Магазин шин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ТОО ""ШИНМАРТ KZ""","+7 771 406 0616","","Магазин шин и дисков","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ""МСКА""","+7 771 171 0808","https://b2b-market.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Агенство коммерческой недвижимости, управляющая компания","+7 707 831 4412","https://realestate-rent.com/","Магазин спецодежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Фирма Триада+","+7 7272 24 01 50","https://triadeplus.kz/contacts","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Бумага и Картон ltd""","+7 7272 25 50 50","http://bymagaikarton.kz/","Поставщик бумажной продукции","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торты на заказ Алматы - Дом десертов «MUS-MUS»","+7 778 870 0067","https://mus-mus.kz/","Кондитерская","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Spartex","+7 727 344 1321","https://www.spartex.kz/about/contacts.php","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Elementum"" Лабораторное оборудование","+7 727 338 5456","http://elementum.kz/","Магазин медицинского оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Одноразова посуда Астана","","","Магазин батарей и аккумуляторов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Sportino","+7 707 677 5277","","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""LITEHOUSE""","+7 727 346 1012","http://www.litehouse.kz/","Компания по автоматизации","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Orthomol","+7 775 114 5048","https://orthomol.kz/","Магазин витаминов и пищевых добавок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ITHS ТОО","+7 777 275 3565","https://iths.kz/","Офис компании","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"V-time Object Office","+7 727 312 1122","https://www.v-time.kz/","Магазин офисной мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"KERAMA MARAZZI","+7 727 310 8888","https://keramamarazzi.kz/","Магазин керамической плитки","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алматы Оптика","+7 7272 67 07 10","https://optica.kz/","Оптика","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"First National Company","+7 777 269 0044","https://fnc.kz/","Поставщик офисного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Зверьё Моё","+7 708 972 1599","","Зоомагазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Whoopie cakes","+7 705 225 5833","http://whoopiecafe.kz/almaty","Кафе-кондитерская","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Sachiko Olzha Products","+7 727 374 3009","","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ешь Фрукт","+7 707 222 2882","","Магазин овощей и фруктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"КазМебельГрупп","+7 727 335 3223","http://www.kazmebelgroup.kz/","Магазин мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мир добавок в бетон, пенобетон","+7 777 715 8961","https://vbeton.kz/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"CompOFF Сборка и ремонт компьютеров, ноутбуков Алматы","+7 707 350 4195","https://remontcomp.kz/","Ремонт компьютеров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Qmax-Vision","+7 7272 93 01 72","https://qmax-vision.kz/","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Team Orange","+7 705 966 8888","http://teamorange.kz/contact/about-us.html","Магазин мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"StockWear","+7 702 388 7546","https://stockwear.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Impeks","+7 727 390 6465","http://www.impeks.kz/address","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кубарик","+7 701 971 5704","https://kubarik.kz/","Магазин канцелярских товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Fashion Avenue","+7 777 035 7075","https://mssg.me/forusgroup","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Коробка для торта, Коробки для клубники в шоколаде","+7 707 430 1020","http://www.pizzatort.kz/","Упаковка продовольственных товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Компания ТОО ""АльянсЭксперт""","+7 707 467 0770","https://alyansfavorit.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ФрутоНяшки","+7 707 147 2582","","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО «АСТРА»","+7 707 108 5505","http://www.astraprint.kz/","Поставщик офисного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"JEWELUX - Ювелирная Компания","+7 707 900 2340","","Ювелирный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DNS","+7 800 080-70-48","https://dns-shop.kz/","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"103Apteka","+7 727 346 9392","https://103apteka.kz/","Аптека","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ""Копимастер""","+7 727 381 0440","","Поставщик офисного оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ЦТО АБ Капитал ( AB Capital )","+7 727 327 1770","http://www.abcapital.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТехноGRAD","+7 727 346 3333","https://tgrad.kz/","Магазин бытовой техники","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Склад автозапчастей","+7 775 328 3999","","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сеть зоомагазинов ""Живой Мир""","+7 771 409 9922","https://zhivoimir.kz/","Зоомагазин","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"ТД Пассаж","+7 7272 73 24 21","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"ТОО ""Novoteh S&A""","+7 777 370 1598","http://dezsredstva.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SHAMS","+7 702 257 4551","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ВебПак","+7 727 310 8506","https://webpack.kz/","Магазин упаковки","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Atomy Kazakhstan LLP","+7 727 341 0151","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AutoBoom","+7 776 750 0151","https://forcar.kz/","Магазин автоаксессуаров","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"MOREFITNESS","+7 701 631 1089","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО Дубль В Евразия","+7 7272 62 08 86","","Поставщик бумажной продукции","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""ОСТ ""Окрасочные системы и технологии""","+7 701 029 2054","https://colormarket.kz/contacts","Служба дистрибуции","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"АДДЕКС","+7 701 721 0500","https://addex.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Goods","+7 707 868 5661","https://good-parts.kz/","Магазин запчастей и аксессуаров для грузовиков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Greenland_almaty","","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алемвет","+7 7272 41 27 42","http://alemvet.com/","Ветеринарная аптека","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"DNS","+7 705 751 2216","https://dns-shop.kz/","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Продукты питания","","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Швейная фурнитура Атакент","+7 777 705 2611","https://www.instagram.com/shveinaya_furnitura_atakent/","Магазин товаров для рукоделия","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Ясен Перец","+7 777 822 1133","https://yapepper.kz/","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"iTell","+7 727 339 2123","","Магазин электроники","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Urban Style","","","Оптовая продажа велосипедов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кондитерский цех ""КарамеЛь""","+7 707 812 1022","","Магазин тортов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
